"","formula","accuracy","cutoff","roc_auc","sensitivity","specificity","hoslem"
"119","response~(used_car+male_div)^2",0.386666666666667,0.687086092715232,0.53234693877551,0.108163265306122,0.952380952380952,0
"120","response~(used_car+male_single)^2",0.6,0.667796610169443,0.547900874635568,0.597959183673469,0.466666666666667,0
"121","response~(used_car+male_mar_or_wid)^2",0.416666666666667,0.681184668989442,0.538940719144801,0.202040816326531,0.871428571428571,0
"122","response~(used_car+co.applicant)^2",0.383333333333333,0.695723684210319,0.548517978620019,0.108163265306122,0.952380952380952,0
"123","response~(used_car+guarantor)^2",0.42,0.67986798679868,0.541924198250729,0.159183673469388,0.923809523809524,0
"124","response~(used_car+present_resident)^2",0.43,0.691892530312041,0.538513119533528,0.236734693877551,0.847619047619048,0
"125","response~(used_car+real_estate)^2",0.553333333333333,0.647577092511002,0.584484936831876,0.4,0.761904761904762,0
"126","response~(used_car+prop_unkn_none)^2",0.656666666666667,0.474747474747475,0.595510204081633,0.904081632653061,0.247619047619048,0
"127","response~(used_car+age)^2",0.603333333333333,0.683553079000417,0.579791059280855,0.530612244897959,0.60952380952381,0
"128","response~(used_car+other_install)^2",0.653333333333333,0.6,0.576695821185617,0.848979591836735,0.257142857142857,0
"129","response~(used_car+rent)^2",0.386666666666667,0.699626865671399,0.552973760932945,0.108163265306122,0.952380952380952,0
"130","response~(used_car+own_res)^2",0.676666666666667,0.592814371257485,0.579237123420797,0.797959183673469,0.323809523809524,0
"131","response~(used_car+num_credits)^2",0.53,0.666722238022703,0.555680272108844,0.438775510204082,0.652380952380952,0
"132","response~(used_car+job)^2",0.503333333333333,0.681701399164617,0.556919339164237,0.308163265306122,0.757142857142857,0
"133","response~(used_car+num_dependents)^2",0.386666666666667,0.686868686868548,0.53086491739553,0.108163265306122,0.952380952380952,0
"134","response~(used_car+telephone)^2",0.386666666666667,0.686075949366954,0.530481049562682,0.108163265306122,0.952380952380952,0
"135","response~(used_car+foreign)^2",0.396666666666667,0.67487684729064,0.552789115646259,0.161224489795918,0.942857142857143,0
"136","response~(furniture+radio.tv)^2",0.463333333333333,0.671122994652347,0.553134110787172,0.304081632653061,0.8,0
"137","response~(furniture+education)^2",0.633333333333333,0.666666666666622,0.531559766763848,0.773469387755102,0.285714285714286,NA
"138","response~(furniture+retraining)^2",0.613333333333333,0.666666666666622,0.524708454810496,0.720408163265306,0.328571428571429,0
"139","response~(furniture+amount)^2",0.636666666666667,0.700390690799096,0.574625850340136,0.728571428571429,0.457142857142857,0
"140","response~(furniture+sav_acct)^2",0.52,0.690177141264287,0.611292517006803,0.43469387755102,0.766666666666667,0
"141","response~(furniture+employment)^2",0.506666666666667,0.690516848569436,0.577040816326531,0.46734693877551,0.666666666666667,0
"142","response~(furniture+install_rate)^2",0.436666666666667,0.708938134052754,0.538532555879495,0.310204081632653,0.771428571428571,0
"143","response~(furniture+male_div)^2",0.636666666666667,0.679999999999902,0.517492711370262,0.795918367346939,0.238095238095238,0
"144","response~(furniture+male_single)^2",0.513333333333333,0.677419354838624,0.539169096209913,0.483673469387755,0.59047619047619,0
"145","response~(furniture+male_mar_or_wid)^2",0.696666666666667,0.666666666666622,1.52108843537415,0.816326530612245,0.214285714285714,0
"146","response~(furniture+co.applicant)^2",0.62,0.687999999999853,0.530262390670554,0.795918367346939,0.257142857142857,0
"147","response~(furniture+guarantor)^2",0.64,0.653846153846154,0.530393586005831,0.826530612244898,0.214285714285714,0
"148","response~(furniture+present_resident)^2",0.643333333333333,0.669799322889929,0.523430515063168,0.844897959183673,0.185714285714286,0
