"","formula","aics","bics","acc"
"434",434,884.33908960226,931.185206878939,0.635
"925",925,884.424273042277,931.270390318956,0.64125
"505",505,884.680116655238,936.210845659585,0.6825
"49",49,885.061790208526,931.907907485206,0.62625
"510",510,885.620442781117,937.151171785464,0.64375
"276",276,886.2193279489,937.750056953247,0.65375
"5",5,886.529874737074,928.691380286085,0.67125
"526",526,886.645595544632,933.491712821311,0.685
"749",749,887.083480088848,933.929597365527,0.6375
"773",773,887.095267380237,938.625996384584,0.6825
"461",461,887.103009437083,938.63373844143,0.6975
"705",705,887.243091660392,934.089208937071,0.64875
"989",989,887.646813034011,934.49293031069,0.6825
"469",469,888.198670788896,935.044788065575,0.65625
"32",32,888.260406283648,935.106523560328,0.65625
"414",414,888.447368869598,935.293486146277,0.66
"351",351,888.57973102926,940.110460033607,0.6625
"957",957,888.674110692493,940.20483969684,0.65875
"450",450,888.766023499624,940.296752503971,0.73
"706",706,889.292700677995,936.138817954675,0.64875
"159",159,889.945451318656,941.476180323004,0.64
"263",263,890.432585097491,937.27870237417,0.72625
"613",613,890.681537495688,942.212266500036,0.665
"457",457,890.747140550201,942.277869554548,0.6725
"679",679,890.904717213154,942.435446217501,0.72375
"880",880,891.01332175914,942.544050763487,0.69
"87",87,891.386119036351,938.23223631303,0.67375
"170",170,891.426737867215,942.957466871563,0.68875
"769",769,891.936771693383,938.782888970062,0.72375
"906",906,891.946374254077,943.477103258424,0.66875
"226",226,892.007284984319,938.853402260999,0.64
"188",188,892.06215894347,943.592887947817,0.685
"812",812,892.23595052577,939.082067802449,0.62375
"30",30,892.287133244025,943.817862248372,0.6825
"57",57,892.309997924312,939.156115200992,0.63625
"710",710,892.406201818985,943.936930823332,0.67
"967",967,892.467760492927,943.998489497274,0.705
"149",149,892.493885383366,939.340002660045,0.65125
"758",758,892.511694487046,944.042423491393,0.65625
"607",607,892.529429045101,939.37554632178,0.615
"306",306,892.704860152309,939.550977428988,0.615
"938",938,892.721143324336,944.251872328683,0.6625
"737",737,892.84306978127,944.373798785617,0.69125
"976",976,893.25971683506,944.790445839407,0.62
"862",862,893.271279104845,944.802008109193,0.68875
"272",272,893.361700691579,940.207817968258,0.6725
"993",993,893.560062009293,945.09079101364,0.65875
"1000",1000,893.669130650572,945.199859654919,0.685
"876",876,894.122038360265,945.652767364613,0.67125
"767",767,894.196388820321,936.357894369333,0.605
"835",835,894.290662089932,936.452167638943,0.71
"855",855,894.391464567645,945.922193571992,0.64625
"493",493,894.52410632525,946.054835329597,0.65875
"124",124,894.559463838944,941.405581115623,0.62625
"489",489,894.596809236205,941.442926512884,0.665
"52",52,894.613465272152,946.144194276499,0.66625
"137",137,894.652427848263,941.498545124942,0.59
"498",498,894.798005444719,941.644122721398,0.67625
"301",301,894.956682708473,937.118188257484,0.64
"270",270,894.977181073218,946.507910077565,0.6775
"928",928,895.017589117736,941.863706394415,0.66625
"898",898,895.106975149104,946.637704153452,0.69375
"961",961,895.255634598789,942.101751875468,0.65625
"831",831,895.457302122576,942.303419399255,0.71875
"525",525,895.626275045724,942.472392322403,0.66625
"273",273,895.844884783901,947.375613788249,0.705
"567",567,895.861116652356,947.391845656703,0.705
"271",271,896.022602256514,942.868719533193,0.60875
"366",366,896.242105343895,947.772834348242,0.63625
"963",963,896.396763054572,938.558268603583,0.67375
"918",918,896.420134302633,947.95086330698,0.60875
"841",841,896.948713690305,939.110219239317,0.61875
"2",2,896.993385291565,943.839502568244,0.56625
"323",323,897.406789504837,948.937518509184,0.64
"53",53,897.57144490215,949.102173906497,0.64625
"307",307,897.665645961143,939.827151510155,0.64875
"605",605,897.81821359925,949.348942603597,0.6425
"844",844,897.883655898645,949.414384902993,0.70375
"719",719,897.950747824685,949.481476829032,0.6675
"500",500,897.958699841278,949.489428845625,0.63625
"804",804,898.09899511985,944.945112396529,0.685
"248",248,898.494952356456,950.025681360803,0.62
"991",991,898.506246491719,940.667752040731,0.63125
"580",580,898.6047894802,945.45090675688,0.6575
"811",811,898.648707009773,945.494824286452,0.705
"151",151,898.698836993696,945.544954270376,0.6525
"65",65,898.735794548624,950.266523552971,0.695
"14",14,898.767713699491,945.613830976171,0.70875
"562",562,898.961024988555,950.491753992902,0.68125
"242",242,899.099411996964,945.945529273643,0.68375
"663",663,899.214340814531,941.375846363542,0.66125
"247",247,899.300876297051,946.14699357373,0.6625
