"","formulas_with","formulas_without","pvals"
"3020","response~(sav_acct+guarantor+own_res)^3","response~sav_acct+guarantor+own_res",0.274519676130081
"36","response~(chk_acct+history+sav_acct)^3","response~chk_acct+history+sav_acct",0.27451052001129
"1995","response~(furniture+prop_unkn_none+own_res)^3","response~furniture+prop_unkn_none+own_res",0.274493176444146
"1279","response~(new_car+sav_acct+real_estate)^3","response~new_car+sav_acct+real_estate",0.274473591918818
"3533","response~(male_single+guarantor+rent)^3","response~male_single+guarantor+rent",0.274298174303192
"3713","response~(co.applicant+present_resident+rent)^3","response~co.applicant+present_resident+rent",0.274233585624604
"4045","response~(own_res+job+num_dependents)^3","response~own_res+job+num_dependents",0.274166278543545
"1704","response~(used_car+present_resident+telephone)^3","response~used_car+present_resident+telephone",0.273970919637517
"844","response~(history+furniture+male_single)^3","response~history+furniture+male_single",0.273752607862684
"842","response~(history+furniture+install_rate)^3","response~history+furniture+install_rate",0.273346437218847
"1835","response~(furniture+amount+present_resident)^3","response~furniture+amount+present_resident",0.272674842657722
"1872","response~(furniture+employment+present_resident)^3","response~furniture+employment+present_resident",0.272662523646301
"3579","response~(male_single+other_install+own_res)^3","response~male_single+other_install+own_res",0.272571417899932
"3122","response~(employment+male_div+num_dependents)^3","response~employment+male_div+num_dependents",0.272090424984297
"2926","response~(sav_acct+employment+guarantor)^3","response~sav_acct+employment+guarantor",0.272057618692743
"1150","response~(new_car+used_car+real_estate)^3","response~new_car+used_car+real_estate",0.271899598971464
"1436","response~(new_car+other_install+job)^3","response~new_car+other_install+job",0.270827320385673
"1271","response~(new_car+sav_acct+employment)^3","response~new_car+sav_acct+employment",0.270820970518414
"1923","response~(furniture+male_single+age)^3","response~furniture+male_single+age",0.270505751157071
"1963","response~(furniture+guarantor+other_install)^3","response~furniture+guarantor+other_install",0.270402686168766
"2876","response~(amount+prop_unkn_none+age)^3","response~amount+prop_unkn_none+age",0.270083633245203
"1537","response~(used_car+retraining+co.applicant)^3","response~used_car+retraining+co.applicant",0.269751272068212
"507","response~(duration+furniture+telephone)^3","response~duration+furniture+telephone",0.269670416386098
"2480","response~(education+prop_unkn_none+num_credits)^3","response~education+prop_unkn_none+num_credits",0.269463144902965
"707","response~(duration+guarantor+present_resident)^3","response~duration+guarantor+present_resident",0.269400520612206
"435","response~(duration+new_car+furniture)^3","response~duration+new_car+furniture",0.268903569936505
"3150","response~(employment+male_mar_or_wid+job)^3","response~employment+male_mar_or_wid+job",0.26886761270125
"192","response~(chk_acct+retraining+num_credits)^3","response~chk_acct+retraining+num_credits",0.26872487573599
"1026","response~(history+male_single+num_credits)^3","response~history+male_single+num_credits",0.268286316755842
"711","response~(duration+guarantor+other_install)^3","response~duration+guarantor+other_install",0.268196637924338
"3534","response~(male_single+guarantor+own_res)^3","response~male_single+guarantor+own_res",0.268095340650376
"3891","response~(present_resident+job+telephone)^3","response~present_resident+job+telephone",0.267863665346289
"599","response~(duration+sav_acct+male_mar_or_wid)^3","response~duration+sav_acct+male_mar_or_wid",0.267809417265353
"2836","response~(amount+co.applicant+rent)^3","response~amount+co.applicant+rent",0.267588761165567
"2438","response~(education+co.applicant+num_credits)^3","response~education+co.applicant+num_credits",0.267157300212422
"1071","response~(history+present_resident+prop_unkn_none)^3","response~history+present_resident+prop_unkn_none",0.267020867548212
"183","response~(chk_acct+retraining+co.applicant)^3","response~chk_acct+retraining+co.applicant",0.26684044920192
"890","response~(history+education+male_mar_or_wid)^3","response~history+education+male_mar_or_wid",0.266655877871859
"2954","response~(sav_acct+install_rate+telephone)^3","response~sav_acct+install_rate+telephone",0.266122135959176
"2250","response~(radio.tv+prop_unkn_none+job)^3","response~radio.tv+prop_unkn_none+job",0.266120105100822
"3422","response~(male_div+co.applicant+foreign)^3","response~male_div+co.applicant+foreign",0.265344963121982
"1333","response~(new_car+male_div+other_install)^3","response~new_car+male_div+other_install",0.264771162857051
"3552","response~(male_single+real_estate+age)^3","response~male_single+real_estate+age",0.264540643921516
"221","response~(chk_acct+sav_acct+male_mar_or_wid)^3","response~chk_acct+sav_acct+male_mar_or_wid",0.264477366829311
