"","formula","aics","bics","acc"
"950",950,940.950350260282,983.111855809294,0.69375
"331",331,824.359204781806,875.889933786153,0.6925
"823",823,854.614799412986,906.145528417333,0.6925
"785",785,854.855930998939,897.01743654795,0.6925
"264",264,877.715542821826,929.246271826173,0.6925
"73",73,879.235621957939,930.766350962286,0.6925
"973",973,897.877301539601,940.038807088612,0.6925
"300",300,921.737319505666,968.583436782345,0.6925
"637",637,847.894509389105,894.740626665785,0.69125
"690",690,850.0347530931,896.880870369779,0.69125
"403",403,863.633344318309,915.164073322656,0.69125
"164",164,865.068476783973,907.229982332985,0.69125
"140",140,870.296916260302,917.143033536981,0.69125
"516",516,870.969681593602,922.500410597949,0.69125
"421",421,889.360096116517,940.890825120864,0.69125
"1",1,916.714039767703,963.560157044383,0.69125
"337",337,804.741969433951,856.272698438298,0.69
"643",643,849.370239539742,896.216356816421,0.69
"3",3,875.642839589937,927.173568594284,0.69
"933",933,879.021704091426,930.552433095774,0.69
"654",654,897.966400526899,949.497129531247,0.69
"484",484,900.777964126948,947.624081403627,0.69
"873",873,921.680273741539,963.84177929055,0.69
"959",959,850.241509352681,901.772238357029,0.68875
"644",644,876.944997601065,928.475726605412,0.68875
"984",984,897.717875498009,944.563992774688,0.68875
"138",138,900.152435174259,951.683164178606,0.68875
"178",178,921.465576984141,972.996305988488,0.68875
"208",208,924.593630897489,966.755136446501,0.68875
"114",114,827.433276813487,878.964005817834,0.6875
"941",941,849.407269834814,900.937998839161,0.6875
"695",695,851.762911029949,903.293640034297,0.6875
"981",981,855.545319814074,907.076048818421,0.6875
"739",739,857.487814585956,904.333931862635,0.6875
"386",386,894.299632781214,936.461138330225,0.6875
"915",915,895.8297818267,942.675899103379,0.6875
"736",736,903.476934597366,945.638440146378,0.6875
"303",303,916.263678509893,967.79440751424,0.6875
"625",625,855.241861446946,906.772590451293,0.68625
"717",717,868.502651315289,920.033380319636,0.68625
"924",924,872.164998196934,919.011115473613,0.68625
"995",995,879.601256779801,926.44737405648,0.68625
"293",293,886.110843957131,928.272349506143,0.68625
"228",228,887.806583563147,939.337312567494,0.68625
"749",749,910.577037240518,962.107766244865,0.68625
"107",107,913.76378339428,960.609900670959,0.68625
"740",740,915.636292004228,962.482409280908,0.68625
"468",468,828.915686349196,875.761803625875,0.685
"356",356,844.454567366342,886.616072915353,0.685
"841",841,849.981785640931,896.82790291761,0.685
"892",892,854.499631137698,906.030360142046,0.685
"606",606,855.26670635692,902.112823633599,0.685
"127",127,863.836960053886,915.367689058234,0.685
"506",506,881.543283705922,933.074012710269,0.685
"466",466,918.004304110777,960.165809659789,0.685
"167",167,920.046783421961,971.577512426308,0.685
